"gID";"T";"x";"y";"itemInCraneID"
0;0.0;0;0;null
1;0.0;500;0;null
1;33.0;665;95;null
1;43.0;665;95;212
0;133.0;665;95;null
1;133.0;685;95;212
0;143.0;665;95;552
1;143.0;685;95;212
0;271.0;25;65;552
1;271.0;45;65;212
0;281.0;25;65;null
1;281.0;45;65;212
0;333.0;285;35;null
1;333.0;305;35;212
0;343.0;285;35;null
1;343.0;305;35;null
0;419.0;665;95;null
1;419.0;685;95;null
0;429.0;665;95;154
1;429.0;685;95;null
0;547.0;75;5;154
1;547.0;95;5;null
0;557.0;75;5;null
1;557.0;95;5;null
0;575.0;-15;5;null
0;585.0;-15;5;2600
0;593.0;5;85;2600
0;603.0;5;85;null
0;611.0;-15;5;null
0;621.0;-15;5;2601
0;659.0;175;55;2601
0;669.0;175;55;null
1;671.0;665;95;null
1;681.0;665;95;67
0;707.0;-15;5;null
0;717.0;-15;5;2602
1;751.0;1015;5;67
1;761.0;1015;5;null
0;785.0;325;25;2602
0;795.0;325;25;null
0;863.0;-15;5;null
0;873.0;-15;5;2603
1;885.0;395;85;null
1;895.0;395;85;2497
0;911.0;175;75;2603
0;921.0;175;75;null
0;959.0;-15;5;null
0;969.0;-15;5;2604
0;1003.0;155;45;2604
0;1013.0;155;45;null
1;1019.0;1015;5;2497
1;1029.0;1015;5;null
0;1047.0;-15;5;null
0;1057.0;-15;5;2605
0;1073.0;65;15;2605
0;1083.0;65;15;null
0;1099.0;-15;5;null
0;1109.0;-15;5;2606
0;1147.0;175;95;2606
0;1157.0;175;95;null
1;1157.0;1015;5;null
0;1195.0;-15;5;null
0;1205.0;-15;5;2607
0;1223.0;75;65;2607
0;1233.0;75;65;null
1;1233.0;1015;5;null
0;1251.0;-15;5;null
0;1261.0;-15;5;2608
0;1363.0;495;35;2608
0;1373.0;495;35;null
1;1373.0;1015;5;null
0;1475.0;-15;5;null
0;1485.0;-15;5;2609
0;1537.0;245;5;2609
0;1547.0;245;5;null
1;1547.0;1015;5;null
0;1599.0;-15;5;null
0;1609.0;-15;5;2610
0;1623.0;55;85;2610
0;1633.0;55;85;null
1;1633.0;1015;5;null
0;1647.0;-15;5;null
0;1657.0;-15;5;2611
0;1697.0;185;55;2611
0;1707.0;185;55;null
1;1707.0;1015;5;null
0;1747.0;-15;5;null
0;1757.0;-15;5;2612
0;1849.0;445;25;2612
0;1859.0;445;25;null
1;1859.0;1015;5;null
0;1951.0;-15;5;null
0;1961.0;-15;5;2613
0;2039.0;375;75;2613
0;2049.0;375;75;null
1;2049.0;1015;5;null
0;2127.0;-15;5;null
0;2137.0;-15;5;2614
0;2175.0;175;45;2614
0;2185.0;175;45;null
1;2185.0;1015;5;null
0;2223.0;-15;5;null
0;2233.0;-15;5;2615
0;2257.0;105;15;2615
0;2267.0;105;15;null
1;2267.0;1015;5;null
0;2291.0;-15;5;null
0;2301.0;-15;5;2616
0;2349.0;225;95;2616
0;2359.0;225;95;null
1;2359.0;1015;5;null
0;2407.0;-15;5;null
0;2417.0;-15;5;2617
0;2541.0;605;65;2617
0;2551.0;605;65;null
1;2551.0;1015;5;null
0;2675.0;-15;5;null
0;2685.0;-15;5;2618
0;2855.0;835;35;2618
0;2865.0;835;35;null
1;2865.0;1015;5;null
0;3035.0;-15;5;null
0;3045.0;-15;5;2619
0;3149.0;505;5;2619
0;3159.0;505;5;null
1;3159.0;1015;5;null
0;3263.0;-15;5;null
0;3273.0;-15;5;2620
0;3351.0;375;85;2620
0;3361.0;375;85;null
1;3361.0;1015;5;null
0;3439.0;-15;5;null
0;3449.0;-15;5;2621
0;3605.0;765;55;2621
0;3615.0;765;55;null
